country,clicks,impressions,ctr,position
"bgr","143","2524","0.05665610142630745","4.19175911251981"
"nld","4","38","0.10526315789473684","7.184210526315789"
"fra","4","9","0.4444444444444444","1.6666666666666665"
"gbr","2","42","0.047619047619047616","7.5476190476190474"
"irl","2","7","0.2857142857142857","3.2857142857142856"
"usa","1","30","0.03333333333333333","12.133333333333333"
"deu","1","25","0.04","7.48"
"che","1","10","0.1","2.6"
"ita","1","8","0.125","12.5"
"swe","1","4","0.25","4.25"
"nor","1","2","0.5","3.5"
"aut","0","9","0","5.555555555555555"
"bel","0","7","0","5.285714285714286"
"can","0","7","0","11.285714285714286"
"pol","0","6","0","3.8333333333333335"
"grc","0","5","0","3.4"
"isr","0","5","0","8.6"
"srb","0","4","0","5"
"esp","0","3","0","3.3333333333333335"
"hun","0","3","0","1.3333333333333333"
"irn","0","3","0","1"
"alb","0","2","0","5"
"est","0","2","0","1.5"
"ltu","0","2","0","1"
"rou","0","2","0","13"
"are","0","1","0","1"
"aus","0","1","0","1"
"dnk","0","1","0","14"
"fin","0","1","0","2"
"hrv","0","1","0","3"
"idn","0","1","0","4"
"lux","0","1","0","1"
"mda","0","1","0","5"
"mex","0","1","0","1"
"mkd","0","1","0","7"
"mlt","0","1","0","11"
"prt","0","1","0","11"
"rus","0","1","0","1"
"sau","0","1","0","1"
