query,clicks,impressions,ctr,position
"the friendly bear","46","564","0.08156028368794327","3.476950354609929"
"friendly bear","28","306","0.0915032679738562","3.395424836601307"
"friendly bear sofia","14","76","0.18421052631578946","3.1973684210526314"
"the friendly bear sofia","8","63","0.12698412698412698","3.9365079365079363"
"френдли беър","7","48","0.14583333333333334","2.8125"
"дъ френдли беър","4","106","0.03773584905660377","2.688679245283019"
"the friendly bear menu","4","56","0.07142857142857142","3.9107142857142856"
"меню на дъ френдли беър","2","32","0.0625","3.5625"
"restaurants near me","1","45","0.022222222222222223","2.4"
"restaurants near me open now","1","7","0.14285714285714285","3"
"the friendly bar","1","3","0.3333333333333333","1"
"resataurants","1","1","1","5"
"the friendly","1","1","1","2"
"where to eat dinner","0","55","0","3.036363636363636"
"the friendly bear photos","0","33","0","7.848484848484849"
"where to eat lunch","0","26","0","6.884615384615385"
"cheese board","0","17","0","9.294117647058824"
"frendly bear","0","13","0","3.4615384615384617"
"restaurant near me","0","11","0","1.3636363636363638"
"дъ грийн беър","0","11","0","6.454545454545454"
"pet friendly","0","9","0","4.444444444444445"
"friendly","0","7","0","2.857142857142857"
"the blue bear","0","7","0","3"
"εστιατορια σοφια κεντρο","0","7","0","10.142857142857142"
"dinner","0","6","0","7.5"
"places to eat near me","0","6","0","2.166666666666667"
"the friendly bear reviews","0","6","0","3.8333333333333335"
"bear restaurant","0","5","0","4"
"diner","0","5","0","5.2"
"food near me","0","5","0","1.4"
"friendly's","0","5","0","3"
"sofia bear","0","5","0","8"
"заведения софия","0","5","0","3.4"
"charcuterie board","0","4","0","3.25"
"frendly","0","4","0","2"
"friendly housing","0","4","0","2"
"pet friendly bg","0","4","0","6.75"
"pork shank","0","4","0","9"
"tasty bear","0","4","0","4.75"
"готини заведения в центъра на софия","0","4","0","2.25"
"дъ","0","4","0","13"
"заведения около софийски университет","0","4","0","4.25"
"ресторант с сезонно меню софия испански","0","4","0","8.5"
"bar and dinner","0","3","0","2.666666666666667"
"friends and neighbors","0","3","0","9.666666666666666"
"green bear","0","3","0","3"
"restaurants near me 评分最高","0","3","0","1"
"restaurants near us","0","3","0","3.6666666666666665"
"restaurants sofia","0","3","0","30.333333333333332"
"signature culinary gems jiru sofia","0","3","0","14.333333333333334"
"дъ грийн беър еоод","0","3","0","5"
"заведения в софия","0","3","0","2.333333333333333"
"малки ресторанти в софия","0","3","0","6"
"ресторант с градина софия","0","3","0","1.6666666666666665"
"bear food","0","2","0","2.5"
"bear vitosha","0","2","0","4"
"best restaurants sofia","0","2","0","37"
"big bear restaurant","0","2","0","10"
"brunch beer","0","2","0","3"
"food places near me","0","2","0","3"
"fried chicken","0","2","0","10"
"good food","0","2","0","12.5"
"hidden gem","0","2","0","5"
"hungry bear restaurant","0","2","0","1"
"local cuisine near me","0","2","0","1"
"lunch","0","2","0","2"
"places to eat","0","2","0","1"
"pork liver","0","2","0","5"
"restaurant in der nähe","0","2","0","3.5"
"restaurants in sofia","0","2","0","29.5"
"restaurants near me open","0","2","0","2.5"
"restaurants open near me","0","2","0","4"
"ресторант останете приятели","0","2","0","13"
"ресторант с автентичен интериор софия","0","2","0","8"
"ресторанти софия","0","2","0","1.5"
"софия заведения","0","2","0","1"
"френдли","0","2","0","9"
"френдли шейр","0","2","0","5.5"
"aubergine sofia","0","1","0","23"
"bar and diner","0","1","0","7"
"bar friendly","0","1","0","1"
"barefoot in restaurant","0","1","0","7"
"bear bar","0","1","0","1"
"bear beer","0","1","0","6"
"bear cafe","0","1","0","1"
"bear club","0","1","0","4"
"bear foods","0","1","0","3"
"bear lounge","0","1","0","5"
"beet","0","1","0","15"
"best bars in sofia","0","1","0","94"
"best breakfast spots near me","0","1","0","14"
"best brunch spots near me","0","1","0","1"
"best business lunch sofia center","0","1","0","22"
"best cheap eats near me","0","1","0","13"
"best kept secret","0","1","0","5"
"best restaurants nearby","0","1","0","8"
"best sandwich shops near me","0","1","0","6"
"birdie","0","1","0","6"
"birdie call","0","1","0","8"
"boho sofia","0","1","0","42"
"booking pet friendly","0","1","0","11"
"brestaurant","0","1","0","2"
"bulgaria sofia restaurant","0","1","0","48"
"bulgarian food","0","1","0","11"
"caesar salad","0","1","0","12"
"cafe bear","0","1","0","2"
"cafe near me","0","1","0","5"
"cafees near me","0","1","0","2"
"ceaser salad","0","1","0","13"
"cheap breakfast places near me","0","1","0","1"
"cheese grits","0","1","0","12"
"cheese platter","0","1","0","41"
"dear bg","0","1","0","5"
"dinne","0","1","0","2"
"dinner near me","0","1","0","5"
"dinner sofia","0","1","0","2"
"dog friendly","0","1","0","4"
"dove mangiare sofia","0","1","0","3"
"duner near me","0","1","0","5"
"family friendly restaurants","0","1","0","11"
"find me places to eat","0","1","0","1"
