query,page,clicks,impressions,ctr,position
"the friendly bear","https://www.friendlybear.bg/","19","395","0.04810126582278481","4.402531645569621"
"friendly bear","http://www.friendlybear.bg/","19","146","0.13013698630136986","3.6027397260273974"
"the friendly bear","http://www.friendlybear.bg/","18","219","0.0821917808219178","3.949771689497717"
"the friendly bear","https://friendlybear.bg/bg","9","137","0.06569343065693431","4.423357664233577"
"friendly bear sofia","http://www.friendlybear.bg/","8","36","0.2222222222222222","3.2777777777777777"
"friendly bear sofia","https://www.friendlybear.bg/","6","51","0.11764705882352941","4.549019607843137"
"friendly bear","https://www.friendlybear.bg/","5","193","0.025906735751295335","4.528497409326425"
"friendly bear","https://friendlybear.bg/bg","5","84","0.05952380952380952","3.7142857142857144"
"the friendly bear sofia","https://www.friendlybear.bg/","4","44","0.09090909090909091","5.068181818181818"
"the friendly bear sofia","http://www.friendlybear.bg/","4","36","0.1111111111111111","4.333333333333334"
"френдли беър","http://www.friendlybear.bg/","4","31","0.12903225806451613","2.354838709677419"
"дъ френдли беър","https://friendlybear.bg/bg","2","34","0.058823529411764705","3.9411764705882355"
"френдли беър","https://friendlybear.bg/bg","2","20","0.1","4.4"
"the friendly bear menu","http://www.friendlybear.bg/","2","11","0.18181818181818182","3.090909090909091"
"дъ френдли беър","https://www.friendlybear.bg/","1","72","0.013888888888888888","4.208333333333334"
"дъ френдли беър","http://www.friendlybear.bg/","1","61","0.01639344262295082","1.901639344262295"
"restaurants near me","http://www.friendlybear.bg/","1","44","0.022727272727272728","2.4318181818181817"
"френдли беър","https://www.friendlybear.bg/","1","28","0.03571428571428571","5.071428571428571"
"меню на дъ френдли беър","https://www.friendlybear.bg/","1","23","0.043478260869565216","4.434782608695652"
"меню на дъ френдли беър","https://www.friendlybear.bg/bg/menu","1","11","0.09090909090909091","2.1818181818181817"
"restaurants near me open now","http://www.friendlybear.bg/","1","7","0.14285714285714285","3"
"the friendly bear menu","https://www.friendlybear.bg/en/menu","1","6","0.16666666666666666","3.5"
"the friendly bear menu","https://www.friendlybear.bg/en/hidden-gem-restaurant-sofia","1","3","0.3333333333333333","17"
"resataurants","http://www.friendlybear.bg/","1","1","1","5"
"the friendly","https://friendlybear.bg/bg","1","1","1","2"
"the friendly bar","https://friendlybear.bg/bg","1","1","1","1"
"where to eat dinner","http://www.friendlybear.bg/","0","55","0","3.036363636363636"
"the friendly bear menu","https://www.friendlybear.bg/","0","45","0","4.977777777777778"
"where to eat lunch","http://www.friendlybear.bg/","0","26","0","6.884615384615385"
"the friendly bear","https://friendlybear.bg/en/menu","0","24","0","11.458333333333334"
"the friendly bear","https://www.friendlybear.bg/en/menu","0","22","0","8.90909090909091"
"friendly bear","https://www.friendlybear.bg/en/menu","0","21","0","10.380952380952381"
"the friendly bear","https://www.friendlybear.bg/bg/menu","0","21","0","10"
"the friendly bear photos","https://www.friendlybear.bg/","0","19","0","8.578947368421051"
"cheese board","http://www.friendlybear.bg/","0","17","0","9.294117647058824"
"the friendly bear","https://friendlybear.bg/en/contact","0","17","0","9.941176470588236"
"friendly bear","https://www.friendlybear.bg/bg/menu","0","16","0","9.875"
"friendly bear sofia","https://friendlybear.bg/bg","0","14","0","3.5"
"the friendly bear sofia","https://www.friendlybear.bg/en/hidden-gem-restaurant-sofia","0","12","0","6.333333333333333"
"restaurant near me","http://www.friendlybear.bg/","0","11","0","1.3636363636363638"
"the friendly bear menu","https://www.friendlybear.bg/bg/menu","0","11","0","6.909090909090909"
"the friendly bear photos","https://friendlybear.bg/bg","0","11","0","7.7272727272727275"
"дъ грийн беър","http://www.friendlybear.bg/","0","11","0","6.454545454545454"
"the friendly bear sofia","https://friendlybear.bg/en/contact","0","10","0","8.4"
"frendly bear","https://www.friendlybear.bg/","0","9","0","4.333333333333334"
"friendly bear sofia","https://friendlybear.bg/en/contact","0","9","0","9.222222222222221"
"pet friendly","http://www.friendlybear.bg/","0","9","0","4.444444444444445"
"меню на дъ френдли беър","https://friendlybear.bg/bg","0","9","0","4.777777777777778"
"friendly","http://www.friendlybear.bg/","0","7","0","2.857142857142857"
"friendly bear sofia","https://friendlybear.bg/bg/contact","0","7","0","9.285714285714286"
"the blue bear","http://www.friendlybear.bg/","0","7","0","3"
"the friendly bear menu","https://friendlybear.bg/en/menu","0","7","0","5.857142857142857"
"the friendly bear sofia","https://friendlybear.bg/en/menu","0","7","0","6.285714285714286"
"εστιατορια σοφια κεντρο","https://www.friendlybear.bg/el/estiatorio-sofia-kentro","0","7","0","10.142857142857142"
"dinner","http://www.friendlybear.bg/","0","6","0","7.5"
"friendly bear sofia","https://friendlybear.bg/en/menu","0","6","0","7"
"friendly bear sofia","https://www.friendlybear.bg/en/hidden-gem-restaurant-sofia","0","6","0","4.833333333333334"
"places to eat near me","http://www.friendlybear.bg/","0","6","0","2.166666666666667"
"the friendly bear reviews","https://friendlybear.bg/en/reviews","0","6","0","3.8333333333333335"
"diner","http://www.friendlybear.bg/","0","5","0","5.2"
"food near me","http://www.friendlybear.bg/","0","5","0","1.4"
"friendly's","http://www.friendlybear.bg/","0","5","0","3"
"the friendly bear menu","https://friendlybear.bg/bg","0","5","0","9.2"
"дъ френдли беър","https://www.friendlybear.bg/bg/menu","0","5","0","11"
"заведения софия","http://www.friendlybear.bg/","0","5","0","3.4"
"charcuterie board","http://www.friendlybear.bg/","0","4","0","3.25"
"frendly","http://www.friendlybear.bg/","0","4","0","2"
"frendly bear","http://www.friendlybear.bg/","0","4","0","7"
"frendly bear","https://friendlybear.bg/bg","0","4","0","2.5"
"friendly bear sofia","https://www.friendlybear.bg/bg/menu","0","4","0","9.5"
"friendly housing","http://www.friendlybear.bg/","0","4","0","2"
"pet friendly bg","http://www.friendlybear.bg/","0","4","0","6.75"
"pork shank","http://www.friendlybear.bg/","0","4","0","9"
"sofia bear","http://www.friendlybear.bg/","0","4","0","6.5"
"the friendly bear","https://www.friendlybear.bg/el/estiatorio-sofia-kentro","0","4","0","22"
"the friendly bear sofia","https://friendlybear.bg/bg","0","4","0","3.25"
"дъ","http://www.friendlybear.bg/","0","4","0","13"
"заведения около софийски университет","http://www.friendlybear.bg/","0","4","0","4.25"
"ресторант с сезонно меню софия испански","https://www.friendlybear.bg/bg/tourists/spanish","0","4","0","8.5"
"bar and dinner","http://www.friendlybear.bg/","0","3","0","2.666666666666667"
"bear restaurant","https://www.friendlybear.bg/","0","3","0","6"
"friendly bear","https://friendlybear.bg/en/menu","0","3","0","7.333333333333333"
"friendly bear","https://www.friendlybear.bg/en/hidden-gem-restaurant-sofia","0","3","0","11"
"friendly bear sofia","https://www.friendlybear.bg/en/menu","0","3","0","6"
"friends and neighbors","http://www.friendlybear.bg/","0","3","0","9.666666666666666"
"green bear","http://www.friendlybear.bg/","0","3","0","3"
"restaurants near me 评分最高","http://www.friendlybear.bg/","0","3","0","1"
"restaurants near us","http://www.friendlybear.bg/","0","3","0","3.6666666666666665"
"signature culinary gems jiru sofia","https://www.friendlybear.bg/en/hidden-gem-restaurant-sofia","0","3","0","14.333333333333334"
"tasty bear","https://www.friendlybear.bg/","0","3","0","6"
"the friendly bar","http://www.friendlybear.bg/","0","3","0","8.666666666666668"
"the friendly bear","https://www.friendlybear.bg/en/hidden-gem-restaurant-sofia","0","3","0","15"
"the friendly bear sofia","https://www.friendlybear.bg/bg/menu","0","3","0","9"
"готини заведения в центъра на софия","http://www.friendlybear.bg/","0","3","0","2.666666666666667"
"дъ грийн беър еоод","http://www.friendlybear.bg/","0","3","0","5"
"заведения в софия","http://www.friendlybear.bg/","0","3","0","2.333333333333333"
"малки ресторанти в софия","http://www.friendlybear.bg/","0","3","0","6"
"bear food","http://www.friendlybear.bg/","0","2","0","2.5"
"bear restaurant","http://www.friendlybear.bg/","0","2","0","6.5"
"bear restaurant","https://friendlybear.bg/bg","0","2","0","4.5"
"bear vitosha","http://www.friendlybear.bg/","0","2","0","4"
"best restaurants sofia","http://www.friendlybear.bg/","0","2","0","37"
"big bear restaurant","http://www.friendlybear.bg/","0","2","0","10"
"brunch beer","http://www.friendlybear.bg/","0","2","0","3"
"food places near me","http://www.friendlybear.bg/","0","2","0","3"
"frendly bear","https://www.friendlybear.bg/en/menu","0","2","0","9"
"fried chicken","http://www.friendlybear.bg/","0","2","0","10"
"good food","http://www.friendlybear.bg/","0","2","0","12.5"
"hidden gem","https://www.friendlybear.bg/en/hidden-gem-restaurant-sofia","0","2","0","5"
"hungry bear restaurant","http://www.friendlybear.bg/","0","2","0","1"
"local cuisine near me","http://www.friendlybear.bg/","0","2","0","1"
"lunch","http://www.friendlybear.bg/","0","2","0","2"
"places to eat","http://www.friendlybear.bg/","0","2","0","1"
"pork liver","http://www.friendlybear.bg/","0","2","0","5"
"restaurant in der nähe","http://www.friendlybear.bg/","0","2","0","3.5"
"restaurants in sofia","http://www.friendlybear.bg/","0","2","0","29.5"
"restaurants near me open","http://www.friendlybear.bg/","0","2","0","2.5"
"restaurants open near me","http://www.friendlybear.bg/","0","2","0","4"
"restaurants sofia","http://www.friendlybear.bg/","0","2","0","35"
"the friendly bar","https://www.friendlybear.bg/","0","2","0","2.5"
"the friendly bear photos","http://www.friendlybear.bg/","0","2","0","1"
"the friendly bear photos","https://www.friendlybear.bg/en/hidden-gem-restaurant-sofia","0","2","0","16.5"
"the friendly bear sofia","https://www.friendlybear.bg/en/menu","0","2","0","5.5"
"ресторант останете приятели","https://friendlybear.bg/bg","0","2","0","13"
"ресторант с автентичен интериор софия","https://friendlybear.bg/bg/tourists/german","0","2","0","8"
"ресторант с градина софия","http://www.friendlybear.bg/","0","2","0","1.5"
"ресторант с градина софия","https://www.friendlybear.bg/","0","2","0","2"
"ресторанти софия","http://www.friendlybear.bg/","0","2","0","1.5"
"ресторанти софия","https://www.friendlybear.bg/","0","2","0","1.5"
"софия заведения","http://www.friendlybear.bg/","0","2","0","1"
"френдли","http://www.friendlybear.bg/","0","2","0","9"
"френдли шейр","https://friendlybear.bg/bg","0","2","0","5.5"
"aubergine sofia","https://www.friendlybear.bg/it/ristorante-sofia-centro","0","1","0","23"
"bar and diner","http://www.friendlybear.bg/","0","1","0","7"
"bar friendly","http://www.friendlybear.bg/","0","1","0","12"
"bar friendly","https://friendlybear.bg/bg","0","1","0","1"
"barefoot in restaurant","http://www.friendlybear.bg/","0","1","0","7"
"bear bar","http://www.friendlybear.bg/","0","1","0","1"
"bear bar","https://www.friendlybear.bg/","0","1","0","3"
"bear beer","http://www.friendlybear.bg/","0","1","0","6"
"bear cafe","https://friendlybear.bg/bg","0","1","0","1"
"bear club","https://friendlybear.bg/bg","0","1","0","4"
"bear foods","http://www.friendlybear.bg/","0","1","0","3"
"bear lounge","https://www.friendlybear.bg/","0","1","0","5"
"bear restaurant","https://www.friendlybear.bg/bg/menu","0","1","0","7"
"beet","http://www.friendlybear.bg/","0","1","0","15"
"best bars in sofia","http://www.friendlybear.bg/","0","1","0","94"
"best breakfast spots near me","http://www.friendlybear.bg/","0","1","0","14"
"best brunch spots near me","http://www.friendlybear.bg/","0","1","0","1"
"best business lunch sofia center","http://www.friendlybear.bg/","0","1","0","22"
"best cheap eats near me","http://www.friendlybear.bg/","0","1","0","13"
"best kept secret","https://www.friendlybear.bg/en/hidden-gem-restaurant-sofia","0","1","0","5"
"best restaurants nearby","http://www.friendlybear.bg/","0","1","0","8"
"best sandwich shops near me","http://www.friendlybear.bg/","0","1","0","6"
"birdie","http://www.friendlybear.bg/","0","1","0","6"
"birdie call","http://www.friendlybear.bg/","0","1","0","8"
"boho sofia","https://www.friendlybear.bg/it/ristorante-sofia-centro","0","1","0","42"
"booking pet friendly","http://www.friendlybear.bg/","0","1","0","11"
"brestaurant","http://www.friendlybear.bg/","0","1","0","2"
"bulgaria sofia restaurant","http://www.friendlybear.bg/","0","1","0","48"
"bulgarian food","http://www.friendlybear.bg/","0","1","0","11"
"caesar salad","http://www.friendlybear.bg/","0","1","0","12"
"cafe bear","http://www.friendlybear.bg/","0","1","0","2"
"cafe near me","http://www.friendlybear.bg/","0","1","0","5"
"cafees near me","http://www.friendlybear.bg/","0","1","0","2"
"ceaser salad","http://www.friendlybear.bg/","0","1","0","13"
"cheap breakfast places near me","http://www.friendlybear.bg/","0","1","0","1"
"cheese grits","http://www.friendlybear.bg/","0","1","0","12"
"cheese platter","http://www.friendlybear.bg/","0","1","0","41"
"dear bg","http://www.friendlybear.bg/","0","1","0","5"
"dinne","http://www.friendlybear.bg/","0","1","0","2"
"dinner near me","http://www.friendlybear.bg/","0","1","0","5"
"dinner sofia","http://www.friendlybear.bg/","0","1","0","2"
"dog friendly","http://www.friendlybear.bg/","0","1","0","4"
"dove mangiare sofia","http://www.friendlybear.bg/","0","1","0","3"
"duner near me","http://www.friendlybear.bg/","0","1","0","5"
"family friendly restaurants","http://www.friendlybear.bg/","0","1","0","11"
"find me places to eat","http://www.friendlybear.bg/","0","1","0","1"
"fish sandwich","http://www.friendlybear.bg/","0","1","0","1"
"food","http://www.friendlybear.bg/","0","1","0","5"
"food places nearby","http://www.friendlybear.bg/","0","1","0","5"
"food sofia","http://www.friendlybear.bg/","0","1","0","1"
"forest friends","http://www.friendlybear.bg/","0","1","0","1"
"fried cheese balls near me","http://www.friendlybear.bg/","0","1","0","1"
"friendly area","http://www.friendlybear.bg/","0","1","0","1"
"friendly bar","http://www.friendlybear.bg/","0","1","0","1"
"friendly bar","https://friendlybear.bg/bg","0","1","0","3"
"friendly bear","https://friendlybear.bg/bg/reservations","0","1","0","10"
"friendly bear","https://friendlybear.bg/bg/tourists","0","1","0","13"
"friendly bear","https://friendlybear.bg/en/contact","0","1","0","10"
"friendly bear sofia","https://friendlybear.bg/bg/tourists","0","1","0","10"
"friendly bear sofia","https://www.friendlybear.bg/en/tourists/spanish","0","1","0","9"
"friendly lunch","http://www.friendlybear.bg/","0","1","0","2"
"friendlys","https://friendlybear.bg/bg","0","1","0","14"
"friendlys","https://www.friendlybear.bg/en/menu","0","1","0","34"
"fritas","http://www.friendlybear.bg/","0","1","0","2"
"funny cook restaurant","http://www.friendlybear.bg/","0","1","0","11"
"grilled cheese","http://www.friendlybear.bg/","0","1","0","13"
"hidden dinner","https://www.friendlybear.bg/en/hidden-gem-restaurant-sofia","0","1","0","3"
"hungry bear restaurant","https://friendlybear.bg/bg","0","1","0","6"
"la bene","http://www.friendlybear.bg/","0","1","0","5"
"local bear","http://www.friendlybear.bg/","0","1","0","1"
"made in bg","http://www.friendlybear.bg/","0","1","0","7"
"meet and bear","http://www.friendlybear.bg/","0","1","0","1"
"moule frites","http://www.friendlybear.bg/","0","1","0","4"
"moules frites","http://www.friendlybear.bg/","0","1","0","8"
"moules-frites:","http://www.friendlybear.bg/","0","1","0","7"
"nice place to go for lunch near me","http://www.friendlybear.bg/","0","1","0","4"
"on menjar","http://www.friendlybear.bg/","0","1","0","2"
"open restaurants near me now","http://www.friendlybear.bg/","0","1","0","4"
"ovcharska salad","http://www.friendlybear.bg/","0","1","0","14"
"pet friendly restaurants near me","http://www.friendlybear.bg/","0","1","0","4"
"petfriendly","http://www.friendlybear.bg/","0","1","0","3"
"pizza dog friendly","http://www.friendlybear.bg/","0","1","0","7"
"places to eat bear me","http://www.friendlybear.bg/","0","1","0","5"
"places to eat near me open now","http://www.friendlybear.bg/","0","1","0","1"
"pubs near me","http://www.friendlybear.bg/","0","1","0","5"
"resataurants","https://friendlybear.bg/bg","0","1","0","5"
"restaurant","http://www.friendlybear.bg/","0","1","0","6"
"restaurant autour de moi","http://www.friendlybear.bg/","0","1","0","2"
"restaurant recommendation near me","http://www.friendlybear.bg/","0","1","0","7"
"restaurants bear me","http://www.friendlybear.bg/","0","1","0","5"
"restaurants near me","https://www.friendlybear.bg/","0","1","0","1"
"restaurants near me open now","https://friendlybear.bg/bg","0","1","0","1"
"restaurants sofia","https://www.friendlybear.bg/","0","1","0","21"
"resteraunts nearby","http://www.friendlybear.bg/","0","1","0","1"
"restorants near me","http://www.friendlybear.bg/","0","1","0","1"
"restourants near me","http://www.friendlybear.bg/","0","1","0","1"
"resttaurants near me","http://www.friendlybear.bg/","0","1","0","5"
"resturant near me","http://www.friendlybear.bg/","0","1","0","1"
"sofia bear","https://www.friendlybear.bg/","0","1","0","14"
"tar tar","http://www.friendlybear.bg/","0","1","0","13"
"tasty bear","https://www.friendlybear.bg/en/menu","0","1","0","1"
"the bear and the bee","http://www.friendlybear.bg/","0","1","0","3"
"the friendly","http://www.friendlybear.bg/","0","1","0","12"
"the friendly","https://www.friendlybear.bg/bg/menu","0","1","0","9"
"the friendly bar","https://www.friendlybear.bg/bg/menu","0","1","0","10"
"the friendly bear","https://friendlybear.bg/bg/reservations","0","1","0","29"
"the friendly bear","https://friendlybear.bg/en/promotions","0","1","0","48"
"the friendly bear","https://friendlybear.bg/en/tourists","0","1","0","12"
"the friendly bear","https://www.friendlybear.bg/de/restaurant-sofia-zentrum","0","1","0","66"
"the friendly bear","https://www.friendlybear.bg/it/ristorante-sofia-centro","0","1","0","72"
"the friendly bear","https://www.friendlybear.bg/ro/restaurante-centru-sofia","0","1","0","19"
"the friendly bear menu","https://friendlybear.bg/bg/promotions","0","1","0","55"
"the friendly bear menu","https://friendlybear.bg/bg/reservations","0","1","0","63"
"the friendly bear menu","https://www.friendlybear.bg/de/restaurant-sofia-zentrum","0","1","0","60"
"the friendly bear menu","https://www.friendlybear.bg/el/estiatorio-sofia-kentro","0","1","0","70"
"the friendly bear menu","https://www.friendlybear.bg/en/promotions","0","1","0","47"
"the friendly bear menu","https://www.friendlybear.bg/it/ristorante-sofia-centro","0","1","0","67"
"the friendly bear menu","https://www.friendlybear.bg/ro/restaurante-centru-sofia","0","1","0","16"
"the friendly bear photos","https://www.friendlybear.bg/bg/menu","0","1","0","27"
"the friendly bear photos","https://www.friendlybear.bg/de/restaurant-sofia-zentrum","0","1","0","45"
"the friendly bear photos","https://www.friendlybear.bg/el/estiatorio-sofia-kentro","0","1","0","54"
"the friendly bear photos","https://www.friendlybear.bg/en/menu","0","1","0","39"
"the friendly bear photos","https://www.friendlybear.bg/it/ristorante-sofia-centro","0","1","0","49"
"the friendly bear photos","https://www.friendlybear.bg/ro/restaurante-centru-sofia","0","1","0","19"
"the friendly bear reviews","http://www.friendlybear.bg/","0","1","0","11"
"the friendly bear sofia","https://friendlybear.bg/en/tourists","0","1","0","9"
"the friendly bear sofia","https://www.friendlybear.bg/en/tourists/greek","0","1","0","10"
"the friendly beer","http://www.friendlybear.bg/","0","1","0","1"
"the little bears","http://www.friendlybear.bg/","0","1","0","1"
"top 10 restaurants in sofia, bulgaria","http://www.friendlybear.bg/","0","1","0","28"
"tsar burger","http://www.friendlybear.bg/","0","1","0","1"
"what should i order for dinner","http://www.friendlybear.bg/","0","1","0","2"
"what to eat","http://www.friendlybear.bg/","0","1","0","1"
"wine bar sofia","http://www.friendlybear.bg/","0","1","0","2"
"wine bar sofia","https://friendlybear.bg/bg","0","1","0","2"
"аржентински ресторант софия","http://www.friendlybear.bg/","0","1","0","20"
"бирарии софия","https://www.friendlybear.bg/","0","1","0","1"
"брънч софия","http://www.friendlybear.bg/","0","1","0","1"
"готини заведения в центъра на софия","https://friendlybear.bg/bg","0","1","0","1"
"готини заведения в центъра на софия","https://www.friendlybear.bg/","0","1","0","1"
"дъмплинги софия","http://www.friendlybear.bg/","0","1","0","1"
"заведение за хранене","http://www.friendlybear.bg/","0","1","0","1"
"заведения в софия център","http://www.friendlybear.bg/","0","1","0","1"
"малки ресторанти в софия","https://friendlybear.bg/bg","0","1","0","1"
"меню на дъ френдли беър","https://friendlybear.bg/en/menu","0","1","0","9"
"меню на дъ френдли беър","https://www.friendlybear.bg/en/menu","0","1","0","11"
"места за хранене","http://www.friendlybear.bg/","0","1","0","5"
"места за ядене в софия","http://www.friendlybear.bg/","0","1","0","2"
